run,randomSeed,margin_perc_spread,firms_risk_premium,inn_exponent,perc_total_credit,months_of_income,prop_consume_wealth,information_dispersion,cons_risk_premium,res_wage_adjustment,rep_exponent,VacanRatio.UnempRate
279,-1860292075,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.04,1.5,-0.91
280,-1860290682,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.04,2,-0.98
217,-1860273980,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.07,0.5,0.39
239,-1860273405,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.1,1.5,-0.24
282,-1860274558,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.07,1,-0.77
284,-1860279237,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.07,2,-0.94
285,-1860278937,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.1,0.5,-0.85
286,-1860278512,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.1,1,-0.84
223,-1860257977,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.1,1.5,-0.62
245,-1860256899,0.1,0.1,0.5,0.1,6,0.1,1,1,0.04,0.5,-0.84
